"","country_code","pct_employ","month","sub-region","cases_by_monthcat","employ_pop","size_emp_rate"
"48","HR","Less than 25% is Employed",2022-08-01,"Southern Europe",14,6080104,2.30259219250197
"49","HU","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",3,14448848,0.207629009593014
"50","HU","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",25,14448848,1.73024174660845
"51","HU","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",25,14448848,1.73024174660845
"52","HU","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",11,14448848,0.761306368507718
"53","IE","Between 25% and 30% is Employed",2022-05-01,"Northern Europe",2,6774556,0.295222299439255
"54","IE","Between 25% and 30% is Employed",2022-06-01,"Northern Europe",41,6774556,6.05205713850472
"55","IE","Between 25% and 30% is Employed",2022-07-01,"Northern Europe",52,6774556,7.67577978542062
"56","IE","Between 25% and 30% is Employed",2022-08-01,"Northern Europe",33,6774556,4.8711679407477
"57","IS",NA,2022-05-01,"Northern Europe",0,0,NA
"58","IS",NA,2022-06-01,"Northern Europe",3,0,Inf
"59","IS",NA,2022-07-01,"Northern Europe",8,0,Inf
"60","IS",NA,2022-08-01,"Northern Europe",1,0,Inf
"61","IT",NA,2022-05-01,"Southern Europe",29,0,Inf
"62","IT",NA,2022-06-01,"Southern Europe",192,0,Inf
"63","IT",NA,2022-07-01,"Southern Europe",318,0,Inf
"64","IT",NA,2022-08-01,"Southern Europe",175,0,Inf
"65","LT",NA,2022-05-01,"Northern Europe",0,0,NA
"66","LT",NA,2022-06-01,"Northern Europe",0,0,NA
"67","LT",NA,2022-07-01,"Northern Europe",0,0,NA
"68","LT",NA,2022-08-01,"Northern Europe",5,0,Inf
"69","LU","Between 25% and 30% is Employed",2022-05-01,"Western Europe",0,733111,0
"70","LU","Between 25% and 30% is Employed",2022-06-01,"Western Europe",5,733111,6.82024959385414
"71","LU","Between 25% and 30% is Employed",2022-07-01,"Western Europe",25,733111,34.1012479692707
"72","LU","Between 25% and 30% is Employed",2022-08-01,"Western Europe",17,733111,23.1888486191041
"73","LV","Between 25% and 30% is Employed",2022-05-01,"Northern Europe",0,3095886,0
"74","LV","Between 25% and 30% is Employed",2022-06-01,"Northern Europe",2,3095886,0.646018619548653
"75","LV","Between 25% and 30% is Employed",2022-07-01,"Northern Europe",0,3095886,0
"76","LV","Between 25% and 30% is Employed",2022-08-01,"Northern Europe",2,3095886,0.646018619548653
"77","MT","Between 25% and 30% is Employed",2022-05-01,"Southern Europe",1,602515,1.65970971677054
"78","MT","Between 25% and 30% is Employed",2022-06-01,"Southern Europe",7,602515,11.6179680173938
"79","MT","Between 25% and 30% is Employed",2022-07-01,"Southern Europe",16,602515,26.5553554683286
"80","MT","Between 25% and 30% is Employed",2022-08-01,"Southern Europe",7,602515,11.6179680173938
"81","NL",NA,2022-05-01,"Western Europe",43,0,Inf
"82","NL",NA,2022-06-01,"Western Europe",320,0,Inf
"83","NL",NA,2022-07-01,"Western Europe",586,0,Inf
"84","NL",NA,2022-08-01,"Western Europe",141,0,Inf
"85","NO",NA,2022-05-01,"Northern Europe",2,0,Inf
"86","NO",NA,2022-06-01,"Northern Europe",15,0,Inf
"87","NO",NA,2022-07-01,"Northern Europe",39,0,Inf
"88","NO",NA,2022-08-01,"Northern Europe",20,0,Inf
"89","PL","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",1,55563231,0.0179975134995299
"90","PL","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",12,55563231,0.215970161994359
"91","PL","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",58,55563231,1.04385578297274
"92","PL","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",50,55563231,0.899875674976497
"93","PT","Between 25% and 30% is Employed",2022-05-01,"Southern Europe",199,15585545,12.7682413415764
"94","PT","Between 25% and 30% is Employed",2022-06-01,"Southern Europe",276,15585545,17.7087166345482
"95","PT","Between 25% and 30% is Employed",2022-07-01,"Southern Europe",158,15585545,10.1375986531109
"96","PT","Between 25% and 30% is Employed",2022-08-01,"Southern Europe",177,15585545,11.3566769721559
"97","RO","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",0,29301750,0
"98","RO","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",11,29301750,0.375404199407885
"99","RO","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",11,29301750,0.375404199407885
"100","RO","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",13,29301750,0.443659508391137
"101","SE",NA,2022-05-01,"Northern Europe",2,0,Inf
"102","SE",NA,2022-06-01,"Northern Europe",26,0,Inf
"103","SE",NA,2022-07-01,"Northern Europe",71,0,Inf
"104","SE",NA,2022-08-01,"Northern Europe",51,0,Inf
"105","SI","Between 25% and 30% is Employed",2022-05-01,"Southern Europe",2,2994758,0.667833594567574
"106","SI","Between 25% and 30% is Employed",2022-06-01,"Southern Europe",7,2994758,2.33741758098651
"107","SI","Between 25% and 30% is Employed",2022-07-01,"Southern Europe",27,2994758,9.01575352666226
"108","SI","Between 25% and 30% is Employed",2022-08-01,"Southern Europe",7,2994758,2.33741758098651
"109","SK","Between 25% and 30% is Employed",2022-05-01,"Eastern Europe",0,8027088,0
"110","SK","Between 25% and 30% is Employed",2022-06-01,"Eastern Europe",0,8027088,0
"111","SK","Between 25% and 30% is Employed",2022-07-01,"Eastern Europe",6,8027088,0.747469069729895
"112","SK","Between 25% and 30% is Employed",2022-08-01,"Eastern Europe",6,8027088,0.747469069729895
